,state,abortion_sentiment,blm_sentiment,covid_sentiment,economy_sentiment,healthcare_sentiment,immigrant_sentiment,lgbtq_sentiment,Abbreviation
27,utah,-0.3792011795587306,0.0324215131487785,-0.2740249088149771,-0.1537908509432305,-0.1593649645929234,-0.0993123383807023,0.0848178589977503,UT
28,virginia,-0.4376123711355862,-0.5118082594828717,-0.0382455952927629,-0.3642706604647174,-0.24412407606344,-0.4010569830771583,0.1986314282958744,VA
29,washington,-0.6002843358525725,-0.4328437975642925,-0.2625872122603346,-0.2235858924819954,-0.2092605534754202,-0.4653524002139507,-0.5590659007430077,WA
30,westvirginia,-0.4645903336518235,-0.2740077037636826,-0.0799556812797079,-0.1614407424460585,-0.2955389978572321,0.0784278026209818,-0.0125822943526429,WV
31,alaska,-0.3901470893835624,-0.0930579725356228,-0.2373556783472253,-0.2310471055819683,-0.2604049430453526,-0.3756492245138135,-0.4241022681922055,AK
32,arizona,-0.6560388373411619,-0.036374193189467,-0.158539413298261,-0.2319059103148303,-0.2749506416847141,-0.3898988722135475,-0.1124959240357081,AZ
33,florida,-0.4843666483783009,-0.4825829740488928,-0.2889808822379184,-0.3823669026659663,-0.3995787147269118,-0.5241021605241181,-0.1971006313728731,FL
34,illinois,-0.3109589463358631,-0.6155779909915966,-0.328522496272733,-0.3203856824045214,-0.3290033308349974,-0.4761984837398129,-0.2553320478552891,IL
35,kansas,-0.4703268046819498,-0.0896368210620068,-0.1939001331880966,-0.2969131666604697,-0.3062519820200072,-0.393420125996321,0.2239012298055161,KS
36,maryland,-0.3753141155974431,-0.3399610603477501,-0.0609444294923203,-0.2433516727673986,-0.2184799024555281,-0.4156571284832038,-0.2148278188287166,MD
37,massachusetts,-0.6010725281426105,-0.4324520150227333,-0.2475335921328791,-0.2148370469448463,-0.1799196560067839,-0.3122901681474306,0.3663428854067009,MA
38,minnesota,-0.4411191405512535,-0.4404601403946905,-0.1986648378402853,-0.0955950987555643,-0.2299748908777341,-0.3169809926952937,-0.1576292861520854,MN
